pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_insol,discoverymethod,hostname
Kepler-229 b,2.2,,6.252972,0.062,,Transit,Kepler-229
Kepler-229 b,2.1,,6.252948,0.062,,Transit,Kepler-229
Kepler-229 b,2.41,,6.252964898,0.0621,88.22,Transit,Kepler-229
Kepler-229 b,,,6.252962249,,,Transit,Kepler-229
Kepler-229 b,2.65,,6.252962249,0.0617,108.3,Transit,Kepler-229
Kepler-229 b,,,6.25298062,,,Transit,Kepler-229
Kepler-229 b,2.41,,6.252964898,0.0621,88.22,Transit,Kepler-229
Kepler-229 b,,,6.2530154942,,,Transit,Kepler-229
Kepler-229 b,2.41,,6.252964898,0.0621,88.22,Transit,Kepler-229
K2-222 b,2.39,,15.387063,0.1211,,Transit,K2-222
K2-222 b,2.53826377,,15.3886606556,,87.1069,Transit,K2-222
K2-222 b,2.41,5.7,15.3863,,98.0,Transit,K2-222
K2-222 b,2.35,8.0,15.38857,,95.0,Transit,K2-222
K2-222 b,2.1,,15.386796,,,Transit,K2-222
K2-222 b,2.35,8.7,15.38857,0.1206,96.0,Transit,K2-222
K2-222 b,2.22325951,,15.388825,,,Transit,K2-222
K2-214 b,2.21567504,,8.596531,,,Transit,K2-214
K2-214 b,2.5,,8.596724,,,Transit,K2-214
K2-214 b,2.43,,8.596802,0.0834,,Transit,K2-214
K2-214 b,2.6,,8.59627,,,Transit,K2-214
K2-214 b,2.51,,8.59656,,238.0,Transit,K2-214
K2-220 b,2.62,,13.68275,,,Transit,K2-220
K2-220 b,2.37,,13.68186,,79.7,Transit,K2-220
K2-220 b,2.3,,13.683038,,,Transit,K2-220
K2-220 b,2.21473364,,13.682511,,,Transit,K2-220
K2-220 b,2.39,,13.683256,0.1104,,Transit,K2-220
K2-216 b,1.75,8.0,2.1748,0.028,248.0,Transit,K2-216
K2-216 b,1.79105,,2.1747824,,174.942,Transit,K2-216
K2-216 b,1.67844825,,2.174789,,,Transit,K2-216
K2-216 b,1.63,,2.174829,,,Transit,K2-216
K2-216 b,1.63,,2.174782,0.0298,,Transit,K2-216
K2-216 b,1.7,,2.174769,,,Transit,K2-216
K2-216 b,1.66,6.1,2.174789,,207.0,Transit,K2-216
K2-212 b,2.39257704,,9.7954,,,Transit,K2-212
K2-212 b,2.65,,9.795647,,,Transit,K2-212
K2-212 b,2.6,,9.795546,,,Transit,K2-212
K2-212 b,2.82375991,,9.79565352601,,21.964,Transit,K2-212
K2-212 b,2.52,,9.79551,0.0785,,Transit,K2-212
K2-212 b,2.57,,9.79546,,,Transit,K2-212
Kepler-166 c,,,34.2595411222,,,Transit,Kepler-166
Kepler-166 c,2.7,,34.26062,0.198,,Transit,Kepler-166
Kepler-166 c,2.38,,34.260281,0.195,,Transit,Kepler-166
Kepler-166 c,2.73,,34.25951372,,,Transit,Kepler-166
Kepler-166 c,2.49,,34.25951372,0.1931,11.87,Transit,Kepler-166
Kepler-166 c,2.49,,34.25951372,0.1931,11.87,Transit,Kepler-166
Kepler-166 c,2.523,,,,10.507,Transit,Kepler-166
Kepler-166 c,,,34.25951418,,,Transit,Kepler-166
Kepler-166 c,2.41,,34.25951418,0.1937,11.36,Transit,Kepler-166
Kepler-166 c,,,34.25955106,,,Transit,Kepler-166
Kepler-166 c,2.532,,34.25951372,0.19263,10.3,Transit,Kepler-166
Kepler-166 c,2.49,,34.25951372,0.1931,11.87,Transit,Kepler-166
K2-151 b,1.49,,3.835476,0.0373,,Transit,K2-151
K2-151 b,1.35,,3.835592,0.0365,20.8,Transit,K2-151
K2-151 b,1.5,,3.835376,,,Transit,K2-151
K2-151 b,1.054,,3.83553,,,Transit,K2-151
K2-295 b,11.6786,,4.0248735,,97.8595,Transit,K2-295
K2-295 b,10.054473,106.47305,4.024867,0.0451,,Transit,K2-295
K2-295 b,9.56,,4.0248883,,,Transit,K2-295
K2-295 b,,,4.02488968,,,Transit,K2-295
K2-295 b,10.3,,4.024881,,,Transit,K2-295
K2-282 b,2.82,,4.169836,0.0499,,Transit,K2-282
K2-282 b,2.5,,4.169783,,,Transit,K2-282
K2-282 b,3.19,,4.17032,,,Transit,K2-282
K2-282 b,2.7,,4.169746,,,Transit,K2-282
K2-283 b,3.23,,1.921111,,,Transit,K2-283
K2-283 b,3.52,,1.921036,0.0291,,Transit,K2-283
K2-283 b,3.8,,1.921076,,,Transit,K2-283
